,title,name,rating,rental_duration,rental_rate,length,replacement_cost,special_features,rental_date
21,Whale Bikini,Foreign,PG-13,4,4.99,109,11.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 02:40:21
22,Reds Pocus,Music,PG-13,7,4.99,182,23.99,"['Trailers', 'Behind the Scenes']",2005-05-25 02:53:02
23,Sun Confessions,Sci-Fi,R,5,0.99,141,9.99,"['Trailers', 'Behind the Scenes']",2005-05-25 03:21:20
24,Wait Cider,Animation,PG-13,3,0.99,112,9.99,['Trailers'],2005-05-25 03:36:50
25,Easy Gladiator,Action,G,5,4.99,148,12.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 03:41:50
26,Thief Pelican,Animation,PG-13,5,4.99,135,28.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 03:42:37
27,Chainsaw Uptown,Sci-Fi,PG,6,0.99,114,25.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 03:47:12
28,Song Hedwig,Music,PG-13,3,0.99,165,29.99,"['Trailers', 'Deleted Scenes']",2005-05-25 04:01:32
29,Witches Panic,Drama,NC-17,6,4.99,100,10.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 04:05:17
30,Stallion Sundance,Sci-Fi,PG-13,5,0.99,130,23.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 04:06:21
31,Goldmine Tycoon,Sci-Fi,R,6,0.99,153,20.99,"['Trailers', 'Behind the Scenes']",2005-05-25 04:18:51
32,Microcosmos Paradise,Children,PG-13,6,2.99,105,22.99,['Commentaries'],2005-05-25 04:19:28
33,Enemy Odds,Music,NC-17,5,4.99,77,23.99,['Trailers'],2005-05-25 04:24:36
34,Escape Metropolis,Travel,R,7,2.99,167,20.99,['Trailers'],2005-05-25 04:36:26
35,Borrowers Bedazzled,Animation,G,7,0.99,63,22.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 04:44:31
36,Manchurian Curtain,Family,PG,5,2.99,177,27.99,"['Trailers', 'Commentaries']",2005-05-25 04:47:44
37,Wind Phantom,Games,R,6,0.99,111,12.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 04:51:46
38,Minds Truman,Action,PG-13,3,4.99,149,22.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 05:09:04
39,Grit Clockwork,Games,PG,3,0.99,137,21.99,"['Trailers', 'Deleted Scenes']",2005-05-25 05:12:29
40,Boiled Dares,Travel,PG,7,4.99,102,13.99,"['Trailers', 'Commentaries']",2005-05-25 05:24:58
41,Massage Image,Animation,PG,4,2.99,161,11.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 05:39:25
42,Pirates Roxanne,Sports,PG,4,0.99,100,20.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 05:53:23
43,Harry Idaho,Drama,PG-13,5,4.99,121,18.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 05:59:39
44,Ridgemont Submarine,New,PG-13,3,0.99,46,28.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 06:04:08
45,Jaws Harry,Comedy,G,4,2.99,112,10.99,['Deleted Scenes'],2005-05-25 06:05:20
46,Gun Bonnie,Games,G,7,0.99,100,27.99,['Behind the Scenes'],2005-05-25 06:20:46
47,Pacific Amistad,Documentary,G,3,0.99,144,27.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 06:39:35
48,Hope Tootsie,Classics,NC-17,4,2.99,139,22.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 06:44:53
49,Elf Murder,Music,NC-17,4,4.99,155,19.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 06:49:10
50,Talented Homicide,Sports,PG,6,0.99,173,9.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 06:51:29
51,Elephant Trojan,Horror,PG-13,4,4.99,126,24.99,['Behind the Scenes'],2005-05-25 07:19:16
52,Musketeers Wait,Classics,PG,7,4.99,73,17.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 07:23:25
53,Dream Pickup,Action,PG,6,2.99,135,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 08:26:13
54,Eyes Driving,Sci-Fi,PG-13,4,2.99,172,13.99,"['Trailers', 'Commentaries']",2005-05-25 08:28:11
55,Submarine Bed,Comedy,R,5,4.99,127,21.99,['Trailers'],2005-05-25 08:43:32
56,Pelican Comforts,Documentary,PG,4,4.99,48,17.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 08:53:14
57,October Submarine,Classics,PG-13,6,4.99,54,10.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 08:56:42
58,Bingo Talented,Sci-Fi,PG-13,5,2.99,150,22.99,"['Trailers', 'Commentaries']",2005-05-25 08:58:25
59,Truman Crazy,Action,G,7,4.99,92,9.99,"['Trailers', 'Commentaries']",2005-05-25 09:01:57
60,Beach Heartbreakers,Documentary,G,6,2.99,122,16.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 09:18:52
61,Sweethearts Suspects,Children,G,3,0.99,108,13.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 09:19:16
62,Alley Evolution,Foreign,NC-17,6,2.99,180,23.99,"['Trailers', 'Commentaries']",2005-05-25 09:21:29
63,Secret Groundhog,Documentary,PG,6,4.99,90,11.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 09:32:03
64,Drumline Cyclone,Travel,G,3,0.99,110,14.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 09:35:12
65,Banger Pinocchio,Music,R,5,0.99,113,15.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 09:41:01
66,Teen Apollo,Travel,G,3,4.99,74,25.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 09:47:31
67,Purple Movie,Foreign,R,4,2.99,88,9.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 10:10:14
68,Invasion Cyclone,Children,PG,5,2.99,97,12.99,"['Trailers', 'Deleted Scenes']",2005-05-25 10:15:23
69,Loathing Legally,Classics,R,4,0.99,140,29.99,['Deleted Scenes'],2005-05-25 10:26:39
70,Juggler Hardly,Animation,PG-13,4,0.99,54,14.99,"['Trailers', 'Commentaries']",2005-05-25 10:52:13
71,Camelot Vacation,Sci-Fi,NC-17,3,0.99,61,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 11:00:07
72,Greedy Roots,Drama,R,7,0.99,166,14.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 11:09:48
73,Roses Treasure,Sports,PG-13,5,4.99,162,23.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 11:13:34
74,Patient Sister,Classics,NC-17,7,0.99,99,29.99,"['Trailers', 'Commentaries']",2005-05-25 11:30:37
75,Entrapment Satisfaction,Action,R,5,0.99,176,19.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 11:31:59
76,Thief Pelican,Animation,PG-13,5,4.99,135,28.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 11:35:18
77,Reservoir Adaptation,Foreign,PG-13,7,2.99,61,29.99,['Commentaries'],2005-05-25 12:11:07
78,Madigan Dorado,Travel,R,5,4.99,116,20.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 12:12:07
79,Metropolis Coma,Sci-Fi,PG-13,4,2.99,64,9.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 12:15:19
80,Fargo Gandhi,Children,G,3,2.99,130,28.99,['Deleted Scenes'],2005-05-25 12:17:46
81,Bucket Brotherhood,Travel,PG,7,4.99,133,27.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 12:30:15
82,Hanky October,Sci-Fi,NC-17,5,2.99,107,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 12:36:30
83,Bucket Brotherhood,Travel,PG,7,4.99,133,27.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 13:05:34
84,Jumping Wrath,Children,NC-17,4,0.99,74,18.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 13:36:12
85,Gandhi Kwai,Family,PG-13,7,0.99,86,9.99,['Trailers'],2005-05-25 13:52:43
86,Jeepers Wedding,Classics,R,3,2.99,84,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 14:13:54
87,Island Exorcist,Classics,NC-17,7,2.99,84,23.99,"['Trailers', 'Commentaries']",2005-05-25 14:28:29
88,Panky Submarine,Games,G,4,4.99,93,19.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 14:31:25
89,Anthem Luke,Comedy,PG-13,5,4.99,91,16.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 14:57:22
90,Comforts Rush,Travel,NC-17,3,2.99,76,19.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 15:38:46
91,Voyage Legally,Classics,PG-13,6,0.99,78,28.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 15:54:16
92,Goldfinger Sensibility,Drama,G,3,0.99,93,29.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 16:03:42
93,Armageddon Lost,Sci-Fi,G,5,0.99,99,10.99,['Trailers'],2005-05-25 16:12:52
94,Rugrats Shakespeare,Action,PG-13,4,0.99,109,16.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 16:32:19
95,Enemy Odds,Music,NC-17,5,4.99,77,23.99,['Trailers'],2005-05-25 16:34:24
96,Packer Madigan,Animation,PG-13,3,0.99,84,20.99,['Trailers'],2005-05-25 16:48:24
97,Candles Grapes,Games,NC-17,6,4.99,135,15.99,"['Trailers', 'Deleted Scenes']",2005-05-25 16:50:20
98,Metal Armageddon,Documentary,PG-13,6,2.99,161,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 16:50:28
99,Champion Flatliners,Animation,PG,4,4.99,51,21.99,['Trailers'],2005-05-25 17:17:04
100,Blood Argonauts,Family,G,3,0.99,71,13.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 17:22:10
101,Robbers Joon,Children,PG-13,7,2.99,102,26.99,['Commentaries'],2005-05-25 17:30:42
102,Valley Packer,Comedy,G,3,0.99,73,21.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 17:46:33
103,Confessions Maguire,Drama,PG-13,7,4.99,65,25.99,['Behind the Scenes'],2005-05-25 17:54:12
104,Show Lord,Documentary,PG-13,3,4.99,167,24.99,['Deleted Scenes'],2005-05-25 18:18:19
105,Network Peak,Family,PG-13,5,2.99,75,23.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 18:28:09
106,Remember Diary,Family,R,5,2.99,110,15.99,"['Trailers', 'Commentaries']",2005-05-25 18:30:05
107,Disciple Mother,Travel,PG,3,0.99,141,17.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 18:40:20
108,Titans Jerk,Sci-Fi,PG,4,4.99,91,11.99,['Behind the Scenes'],2005-05-25 18:43:49
109,Snatch Slipper,Comedy,PG,6,4.99,110,15.99,['Commentaries'],2005-05-25 18:45:19
110,Interview Liaisons,New,R,4,4.99,59,17.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 18:57:24
111,Oz Liaisons,Animation,R,4,2.99,85,14.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 19:07:40
112,Women Dorado,Action,R,4,0.99,126,23.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 19:12:42
113,Coast Rainbow,Documentary,PG,4,0.99,55,20.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 19:13:25
114,Wife Turn,Documentary,NC-17,3,4.99,183,27.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 19:27:51
115,Valentine Vanishing,Travel,PG-13,7,0.99,48,9.99,"['Trailers', 'Behind the Scenes']",2005-05-25 19:30:46
116,Crooked Frogmen,Children,PG-13,6,0.99,143,27.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 19:31:18
117,Falcon Volume,Animation,PG-13,5,4.99,102,21.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 19:37:02
118,Airport Pollock,Horror,R,6,4.99,54,15.99,['Trailers'],2005-05-25 19:37:47
119,Disturbing Scarface,Sci-Fi,R,6,2.99,94,27.99,"['Trailers', 'Behind the Scenes']",2005-05-25 19:41:29
120,Operation Operation,Comedy,G,7,2.99,156,23.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 19:46:21
121,Guys Falcon,Sci-Fi,R,4,4.99,84,20.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 20:26:42
122,Backlash Undefeated,Children,PG-13,3,4.99,118,24.99,"['Trailers', 'Behind the Scenes']",2005-05-25 20:46:11
123,Darn Forrester,Action,G,7,4.99,185,14.99,['Deleted Scenes'],2005-05-25 20:48:50
124,Hyde Doctor,Classics,G,5,2.99,100,11.99,"['Trailers', 'Deleted Scenes']",2005-05-25 21:07:59
125,Hunger Roof,Foreign,G,6,0.99,105,21.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 21:10:40
126,Videotape Arsenic,Games,NC-17,4,4.99,145,10.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 21:19:53
127,Trading Pinocchio,Sports,PG,6,4.99,170,22.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 21:20:03
128,Suspects Quills,Action,PG,4,2.99,47,22.99,['Trailers'],2005-05-25 21:21:56
129,Connecticut Tramp,Sci-Fi,R,4,4.99,172,20.99,"['Commentaries', 'Deleted Scenes']",2005-05-25 21:42:46
130,Rocketeer Mother,Foreign,PG-13,3,0.99,178,27.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 21:46:54
131,Borrowers Bedazzled,Animation,G,7,0.99,63,22.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 21:48:30
132,Jumping Wrath,Children,NC-17,4,0.99,74,18.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 21:48:41
133,American Circus,Action,R,3,4.99,129,17.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 21:58:58
134,Kiss Glory,Foreign,PG-13,5,4.99,163,11.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-25 22:02:30
135,Menagerie Rushmore,Animation,G,7,2.99,147,18.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 22:25:18
136,Tourist Pelican,Sports,PG-13,4,4.99,152,18.99,['Deleted Scenes'],2005-05-25 22:48:22
137,Bingo Talented,Sci-Fi,PG-13,5,2.99,150,22.99,"['Trailers', 'Commentaries']",2005-05-25 23:00:21
138,Chicken Hellfighters,Documentary,PG,3,0.99,122,24.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 23:34:22
139,Congeniality Quest,Sports,PG-13,6,0.99,87,21.99,"['Commentaries', 'Behind the Scenes']",2005-05-25 23:34:53
140,Watch Tracy,Animation,PG,5,0.99,78,12.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-25 23:43:47
141,Craft Outfield,Drama,NC-17,6,0.99,64,17.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 23:45:52
142,Gone Trouble,Drama,R,7,2.99,84,20.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-25 23:49:56
143,Strangelove Desire,Children,NC-17,4,0.99,103,27.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-25 23:59:03
144,Fidelity Devil,Horror,G,5,4.99,118,11.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 00:07:11
145,Chariots Conspiracy,Sci-Fi,R,5,2.99,71,29.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-26 00:17:50
146,Unforgiven Zoolander,Sci-Fi,PG,7,0.99,129,15.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 00:25:23
147,Doom Dancing,Comedy,R,4,0.99,68,13.99,"['Trailers', 'Commentaries']",2005-05-26 00:28:05
148,Daddy Pittsburgh,Comedy,G,5,4.99,161,26.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-26 00:28:39
149,Outbreak Divine,Games,NC-17,6,0.99,169,12.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 00:37:28
150,Midsummer Groundhog,Documentary,G,3,4.99,48,27.99,"['Trailers', 'Deleted Scenes']",2005-05-26 00:41:10
151,Storm Happiness,Animation,NC-17,6,0.99,57,28.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 00:47:47
152,Factory Dragon,Travel,PG-13,4,0.99,144,9.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 00:55:56
153,Behavior Runaway,Horror,PG,3,4.99,100,20.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 01:15:05
154,Pulp Beverly,Horror,G,4,2.99,89,12.99,"['Trailers', 'Behind the Scenes']",2005-05-26 01:19:05
155,Crusade Honey,Sports,R,4,2.99,112,27.99,['Commentaries'],2005-05-26 01:25:21
156,Lights Deer,Classics,R,7,0.99,174,21.99,['Commentaries'],2005-05-26 01:27:11
157,Sagebrush Clueless,Documentary,G,4,2.99,106,28.99,['Trailers'],2005-05-26 01:34:28
158,Heaven Freedom,Comedy,PG,7,2.99,48,19.99,['Commentaries'],2005-05-26 01:46:20
159,Outbreak Divine,Games,NC-17,6,0.99,169,12.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 01:51:48
160,Edge Kissing,Drama,NC-17,5,4.99,153,9.99,['Deleted Scenes'],2005-05-26 02:02:05
161,Kissing Dolls,Action,R,3,4.99,141,9.99,['Trailers'],2005-05-26 02:26:23
162,Dogma Family,Animation,G,5,4.99,122,16.99,['Commentaries'],2005-05-26 02:26:49
163,Motions Details,Horror,PG,5,0.99,166,16.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 02:28:36
164,Story Side,Action,R,7,0.99,163,27.99,"['Trailers', 'Behind the Scenes']",2005-05-26 02:49:11
165,Creepers Kane,Classics,NC-17,5,4.99,172,23.99,"['Trailers', 'Behind the Scenes']",2005-05-26 02:50:31
166,Moon Bunch,Foreign,PG,7,0.99,83,20.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-26 03:07:43
167,Grit Clockwork,Games,PG,3,0.99,137,21.99,"['Trailers', 'Deleted Scenes']",2005-05-26 03:09:30
168,Sleepy Japanese,New,PG,4,2.99,137,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 03:11:12
169,Witches Panic,Drama,NC-17,6,4.99,100,10.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 03:14:15
170,Notting Speakeasy,Drama,PG-13,7,0.99,48,19.99,"['Trailers', 'Commentaries']",2005-05-26 03:17:42
171,Shepherd Midsummer,Children,R,7,0.99,113,14.99,['Deleted Scenes'],2005-05-26 03:42:10
172,Summer Scarface,Classics,G,5,0.99,53,25.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-26 03:44:10
173,Vision Torque,Foreign,PG-13,5,0.99,59,16.99,"['Commentaries', 'Deleted Scenes']",2005-05-26 03:46:26
174,Cranes Reservoir,Sports,NC-17,5,2.99,57,12.99,['Commentaries'],2005-05-26 03:47:39
175,Seattle Expecations,Drama,PG-13,4,4.99,110,18.99,['Trailers'],2005-05-26 04:14:29
176,Flying Hook,Animation,NC-17,6,2.99,69,18.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 04:21:46
177,Massacre Usual,Games,R,6,4.99,165,16.99,['Commentaries'],2005-05-26 04:26:06
178,Movie Shakespeare,Family,PG,6,4.99,53,27.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 04:46:23
179,Lola Agent,Horror,PG,4,4.99,85,24.99,"['Trailers', 'Commentaries']",2005-05-26 04:47:06
180,Wash Heavenly,Foreign,R,7,4.99,161,22.99,['Commentaries'],2005-05-26 04:49:17
181,Novocaine Flight,Sports,G,4,0.99,64,11.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 05:01:18
182,Honey Ties,Sports,R,3,0.99,84,29.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 05:29:49
183,Metal Armageddon,Documentary,PG-13,6,2.99,161,26.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 05:30:03
184,Half Outfield,Family,PG-13,6,2.99,146,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 05:32:52
185,Sweet Brotherhood,Travel,R,3,2.99,185,27.99,['Deleted Scenes'],2005-05-26 05:42:37
186,Road Roxanne,Documentary,R,4,4.99,158,12.99,['Behind the Scenes'],2005-05-26 05:47:12
187,Deep Crusade,Documentary,PG-13,6,4.99,51,20.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 06:01:41
188,Sun Confessions,Sci-Fi,R,5,0.99,141,9.99,"['Trailers', 'Behind the Scenes']",2005-05-26 06:11:28
189,Voyage Legally,Classics,PG-13,6,0.99,78,28.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 06:14:06
190,Hedwig Alter,Comedy,NC-17,7,2.99,169,16.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 06:20:37
191,Straight Hours,Sports,R,3,0.99,151,19.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 06:41:48
192,Expendable Stallion,Documentary,PG,3,0.99,97,14.99,"['Trailers', 'Behind the Scenes']",2005-05-26 06:52:33
193,Calendar Gunfight,Foreign,NC-17,4,4.99,120,22.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 06:52:36
194,Atlantis Cause,Family,G,6,2.99,170,15.99,['Behind the Scenes'],2005-05-26 06:55:58
195,Truman Crazy,Action,G,7,4.99,92,9.99,"['Trailers', 'Commentaries']",2005-05-26 06:59:21
196,Gunfight Moon,Comedy,NC-17,5,0.99,70,16.99,"['Deleted Scenes', 'Behind the Scenes']",2005-05-26 07:03:49
197,Insider Arizona,Music,NC-17,5,2.99,78,17.99,['Commentaries'],2005-05-26 07:11:58
198,Streetcar Intentions,Horror,R,5,4.99,73,11.99,['Commentaries'],2005-05-26 07:12:21
199,Comforts Rush,Travel,NC-17,3,2.99,76,19.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 07:13:45
200,Chocolat Harry,Family,NC-17,5,0.99,101,16.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 07:27:36
201,Rollercoaster Bringing,Horror,PG-13,5,2.99,153,13.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 07:27:57
202,Harold French,Drama,NC-17,6,0.99,168,10.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 07:30:37
203,Betrayed Rear,Children,NC-17,5,4.99,122,26.99,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 07:59:37
204,Graffiti Love,Sci-Fi,PG,3,0.99,117,29.99,"['Trailers', 'Deleted Scenes']",2005-05-26 08:01:54
205,American Circus,Action,R,3,4.99,129,17.99,"['Commentaries', 'Behind the Scenes']",2005-05-26 08:04:38
206,Slacker Liaisons,Drama,R,7,4.99,179,29.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 08:10:22
207,Closer Bang,Comedy,R,5,4.99,58,12.99,"['Trailers', 'Behind the Scenes']",2005-05-26 08:14:01
208,Half Outfield,Family,PG-13,6,2.99,146,25.99,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 08:14:15
209,Sweet Brotherhood,Travel,R,3,2.99,185,27.99,['Deleted Scenes'],2005-05-26 08:33:10
210,Coma Head,Travel,NC-17,6,4.99,109,10.99,['Commentaries'],2005-05-26 08:34:41
211,Forrest Sons,Action,R,4,2.99,63,15.99,['Commentaries'],2005-05-26 08:44:08
212,Fish Opus,Sci-Fi,R,4,2.99,125,22.99,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",2005-05-26 08:48:49
213,Christmas Moonshine,Children,NC-17,7,0.99,150,21.99,"['Trailers', 'Commentaries', 'Behind the Scenes']",2005-05-26 09:02:47
214,Feathers Metal,Games,PG-13,3,0.99,104,12.99,"['Trailers', 'Deleted Scenes']",2005-05-26 09:17:43
215,Wash Heavenly,Foreign,R,7,4.99,161,22.99,['Commentaries'],2005-05-26 09:24:26
216,Kick Savannah,Travel,PG-13,3,0.99,179,10.99,"['Trailers', 'Commentaries', 'Deleted Scenes']",2005-05-26 09:27:09
